state,alc_binge,alc_hvy,arthr,asthm,ca_colon,ca_mammo,ca_pap,ckd,copd_45,copd_smk_45,diab,disabil,npaw_baby,npaw_brstfd,npaw_ovrwt,oc_hsdip,oc_insur,oc_pov,vax_flu
AK,17.8,6.2,24.4,9,64,68,81.9,2.3,7.7,41.9,7.8,39.6,29.3,0,67.4,86.1,12.1,9.9,34.4
AL,13.8,5.6,31,9.8,68.9,77.9,80.9,3.4,12.9,34.3,13.3,40.7,13.6,0,69.5,86.3,16.5,17.1,34.9
AR,15.9,5.5,31.6,8.5,64.1,72.7,69,3.4,13.5,37.1,12.2,40.4,6.9,0,68.3,84.4,13.2,17.2,37.7
AZ,16.5,6.2,23.8,9.3,61.7,75.9,69,3.4,9.7,29.2,9.8,34.3,2.2,1,63.6,84.5,15.7,16.4,33.9
CA,16.5,5.9,18.1,7.7,70.5,82.1,79.5,2.7,7,23.5,9.7,35.6,38.9,1,61.1,88.3,12.9,14.3,35.2
CO,19.5,6.8,22.1,8.8,66.5,72.8,80.8,2.2,6.6,34.9,6.2,31.3,13,0,57.9,87.3,12.9,11,42.3
CT,18.1,5.7,22.6,10.6,75.2,85.6,69,2.7,8.3,33.6,8.6,31.7,47,0,61.3,90.5,8.7,9.8,41.4
DC,24.2,10.8,18.8,10.1,69.7,83.2,85.2,2.7,7.8,27.7,8.4,34,32.2,0,54.8,92.2,5.5,18.6,38
DE,18,6.7,23.8,8.7,70.3,81.5,77.7,2.8,8.8,37.7,9.1,31.1,85.8,1,67.6,83.2,11.5,11.7,39.5
FL,17,6.9,20.9,6.7,64.8,81.3,77.8,2.7,9.2,36,9.8,33.1,10.4,0,62.5,84.6,21.9,14.7,31.8
GA,13.6,5.7,24.5,8.5,63,79.2,81.2,3.2,11.5,35.3,11.5,36.5,12.4,0,65.8,83.7,20.6,16,34.6
HI,19.6,8.2,20.2,10.7,72.9,83.8,79.8,3.5,5.6,25.9,9.5,34.3,19.5,0,58,92.8,8.4,9.3,38.3
IA,22.5,7.1,23.1,7.8,67.2,77.3,81.9,1.8,7.4,43.6,8.2,31.9,3.1,0,69.1,88.8,8.1,11.8,45
ID,16.9,7.2,22.2,9.2,60.4,63.3,74.7,1.9,8.2,29.2,8.1,36.1,6.6,0,64.5,88,19.6,14.4,33.1
IL,20.7,6.8,23.1,8.8,62.6,77.9,83.4,3.4,8.8,31.8,9.5,33.8,7.8,0,64.5,87.9,11.1,13,35.2
IN,18.5,6.7,25.9,10.1,63.9,71.6,77.2,2.6,11.7,42,10.6,37.1,23.1,0,67.2,84,14,14.1,36.4
KS,16.8,6,23.4,8.6,65.3,75.1,78.8,2.3,8.7,41.5,8.6,34.9,15.7,0,66.9,87.5,15.9,12.1,36.7
KY,15.6,6.5,31.1,11.5,69,76.4,81.7,3.3,16,43.3,11.9,42.3,20.3,0,68.8,86.6,7,18.5,36.9
LA,17.3,6.7,26.4,8.4,63.4,78.5,84.3,2.9,11.2,42.1,11.1,39.5,12.7,0,69.4,82.6,16.8,20.2,31.9
MA,19,7.6,23.2,10.3,74.7,85.8,81.1,2.2,7.8,33.9,8.2,32,13.2,0,59.7,89.1,6.9,10.4,40.8
MD,16.1,5.4,22.6,9.5,69,81.1,69,2.6,8.1,37.4,9.8,31.3,13.8,1,63.9,88.3,10.6,9.7,42.1
ME,21.1,8.9,29.2,12.7,74.8,80.5,81.3,1.9,9.7,40,8.5,33.4,19.4,0,64.3,88.4,12,12.5,38.4
MI,20.2,7,29.1,11.1,68.7,79.4,79.9,3.4,11.8,41.4,9.9,34.8,26.2,0,67,86.6,10.2,15,34.7
MN,22.3,7.6,20.6,7.7,72.6,82,81,2.1,5.9,38.8,7.6,31.3,20.1,0,64.2,88.1,7.9,9.9,42.9
MO,19.5,7.1,28,9.8,64.2,75.9,80.1,3.3,12.4,41.8,10.3,36.7,6,0,67.1,86.6,14.1,14,41
MS,12.8,4.8,29.4,7.9,59.4,71,85.3,3.8,11.5,47.1,12.6,40.9,6.1,1,71.7,84.8,20.2,20.8,35.9
MT,20.6,7.4,24.4,8.4,60.4,72.6,81.9,2.3,10.5,41.2,6.9,34.5,9.1,0,62.1,88.9,12.4,13.3,37.7
NC,15.5,6.8,24,8.1,71.6,79,85.5,3,10.4,37.2,10.2,35.8,28.7,1,66.6,86.1,17.6,15.4,43
ND,25.2,7.7,22.4,9.1,63.1,74.4,79.9,2.4,7.2,40.9,8.2,34.2,1.7,0,68.8,93,9.1,10.7,41.2
NE,21.1,6.7,22.8,8.2,65,73.5,77,2.6,8.4,36,8.1,34.5,10.9,0,68.7,89.7,15,11.4,43.4
NH,19.8,8.1,24.3,12,74,81.5,69,2.4,8.7,34.2,7.7,31,50,0,62.7,89.6,8.7,7.3,39.9
NJ,17.2,4.6,20.7,8.2,63.6,80.4,82.4,2.4,8.6,34,8.1,32.1,13.6,0,62.8,88.6,13.6,10.4,38
NM,15.7,5.6,25.4,11.9,57.5,71,81.1,2.7,8.3,27.3,10.5,40.2,33.8,0,65.4,82.9,12.2,19.8,39.2
NV,16.6,6.4,22.2,7.9,60.5,73.5,77.3,3.1,10.9,37.5,10.1,35.1,14.1,0,61.9,83,18.2,13.8,31.2
NY,18.2,6,21.8,9.5,67.5,79.2,78.5,2.2,7.9,37.2,9.5,32.9,12.9,0,60.5,88.4,11.6,14.7,38.7
OH,19.4,6.6,27.6,9.7,65.6,77,82.6,2.6,12.1,45.9,9.7,35.3,18.1,0,65.9,86.3,8.6,14.6,37
OK,12.5,3.9,26.5,10,58,74.1,81.8,3.1,12.6,37.1,11.1,42.1,10.9,0,68.9,84.1,18.5,16.3,39.3
OR,17.4,7.8,24.7,10.6,68.7,73.1,79.9,2.9,9.5,37.9,8.5,37.4,32.4,0,61.9,87.3,11.7,13.3,34.4
PA,20.9,6.9,26.8,10.7,67.2,75.7,78.4,2.2,9.7,41.8,9.7,34.6,12.4,0,64.5,88,8.8,12.9,40.4
RI,16.7,6,24.2,10.5,72.6,85.3,69,2.1,9.6,39.4,8.6,31.6,98.2,0,63.4,88.9,9.3,12.8,45.1
SC,18,6.9,27.2,8.8,67.7,75.3,81.6,2.7,11.1,40.6,11.5,36.2,33.4,0,67.2,86.4,16.5,15.3,35.8
SD,20.7,5.5,23.4,6,64.4,78.3,80.7,2.3,7.8,42.7,6.9,33.7,6,0,67,85.9,10.4,13.3,47.2
TN,14.1,5.9,28.4,11,64.5,77,83.5,2.8,14.3,49.4,11.3,38.3,11.2,0,68.4,88.3,14.1,15.8,34.5
