state,fm_count,fm_per_100k,fm_vh,fm_h,fm_mh,fm_av,fm_ml,fm_l,fm_vl
ak,24,3.236586372,0,0,1,0,0,0,0
al,78,1.604758314,0,0,0,0,1,0,0
ar,62,2.074806131,0,0,0,1,0,0,0
az,65,0.940850604,0,0,0,0,0,0,1
ca,454,1.155319882,0,0,0,0,0,1,0
co,99,1.79020109,0,0,0,0,1,0,0
ct,59,1.644514499,0,0,0,0,1,0,0
dc,49,7.160225386,0,1,0,0,0,0,0
de,29,3.043986657,0,0,1,0,0,0,0
fl,167,0.808458744,0,0,0,0,0,0,1
ga,127,1.231381416,0,0,0,0,0,1,0
hi,51,3.569721205,0,0,1,0,0,0,0
ia,106,3.385641494,0,0,1,0,0,0,0
id,39,2.321392645,0,0,0,1,0,0,0
il,215,1.675012383,0,0,0,0,1,0,0
in,150,2.261076903,0,0,0,1,0,0,0
ks,81,2.785677217,0,0,0,1,0,0,0
ky,100,2.254225715,0,0,0,1,0,0,0
la,61,1.301706281,0,0,0,0,0,1,0
ma,252,3.692999758,0,0,1,0,0,0,0
md,140,2.323747102,0,0,0,1,0,0,0
me,62,4.660841116,0,1,0,0,0,0,0
mi,241,2.426147223,0,0,0,1,0,0,0
mn,129,2.334820499,0,0,0,1,0,0,0
mo,213,3.49686169,0,0,1,0,0,0,0
ms,49,1.641312849,0,0,0,0,1,0,0
mt,52,5.0064699,0,1,0,0,0,0,0
nc,170,1.673773806,0,0,0,0,1,0,0
nd,17,2.2500225,0,0,0,1,0,0,0
ne,58,3.040464919,0,0,1,0,0,0,0
nh,88,6.591686236,0,1,0,0,0,0,0
nj,104,1.158333497,0,0,0,0,0,1,0
nm,48,2.301681378,0,0,0,1,0,0,0
nv,28,0.952622672,0,0,0,0,0,0,1
ny,472,2.379477691,0,0,0,1,0,0,0
oh,197,1.694980294,0,0,0,0,1,0,0
ok,38,0.969089365,0,0,0,0,0,0,1
or,109,2.667652801,0,0,0,1,0,0,0
pa,160,1.251262504,0,0,0,0,0,1,0
ri,33,3.120372629,0,0,1,0,0,0,0
sc,68,1.371016944,0,0,0,0,0,1,0
sd,26,3.017844748,0,0,1,0,0,0,0
tn,90,1.353504765,0,0,0,0,0,1,0
tx,144,0.516039105,0,0,0,0,0,0,1
ut,31,1.018289464,0,0,0,0,0,1,0
va,199,2.364998966,0,0,0,1,0,0,0
vt,78,12.51295412,1,0,0,0,0,0,0
wa,134,1.84042322,0,0,0,0,1,0,0
wi,202,3.499097597,0,0,1,0,0,0,0
wv,64,3.499874497,0,0,1,0,0,0,0
wy,35,5.983826572,0,1,0,0,0,0,0
