state,fm_per_100k
Alabama,1.604758314
Alaska,3.236586372
Arizona,0.940850604
Arkansas,2.074806131
California,1.155319882
Colorado,1.79020109
Connecticut,1.644514499
Delaware,3.043986657
District of Columbia,7.160225386
Florida,0.808458744
Georgia,1.231381416
Hawaii,3.569721205
Idaho,2.321392645
Illinois,1.675012383
Indiana,2.261076903
Iowa,3.385641494
Kansas,2.785677217
Kentucky,2.254225715
Louisiana,1.301706281
Maine,4.660841116
Maryland,2.323747102
Massachusetts,3.692999758
Michigan,2.426147223
Minnesota,2.334820499
Mississippi,1.641312849
Missouri,3.49686169
Montana,5.0064699
Nebraska,3.040464919
Nevada,0.952622672
New Hampshire,6.591686236
New Jersey,1.158333497
New Mexico,2.301681378
New York,2.379477691
North Carolina,1.673773806
North Dakota,2.2500225
Ohio,1.694980294
Oklahoma,0.969089365
Oregon,2.667652801
Pennsylvania,1.251262504
Rhode Island,3.120372629
South Carolina,1.371016944
South Dakota,3.017844748
Tennessee,1.353504765
Texas,0.516039105
Utah,1.018289464
Vermont,12.51295412
Virginia,2.364998966
Washington,1.84042322
West Virginia,3.499874497
Wisconsin,3.499097597
Wyoming,5.983826572
