state,fm_count,fm_per_100k
al,78,1.604758314
ak,24,3.236586372
az,65,0.940850604
ar,62,2.074806131
ca,454,1.155319882
co,99,1.79020109
ct,59,1.644514499
de,29,3.043986657
dc,49,7.160225386
fl,167,0.808458744
ga,127,1.231381416
hi,51,3.569721205
id,39,2.321392645
il,215,1.675012383
in,150,2.261076903
ia,106,3.385641494
ks,81,2.785677217
ky,100,2.254225715
la,61,1.301706281
me,62,4.660841116
md,140,2.323747102
ma,252,3.692999758
mi,241,2.426147223
mn,129,2.334820499
ms,49,1.641312849
mo,213,3.49686169
mt,52,5.0064699
ne,58,3.040464919
nv,28,0.952622672
nh,88,6.591686236
nj,104,1.158333497
nm,48,2.301681378
ny,472,2.379477691
nc,170,1.673773806
nd,17,2.2500225
oh,197,1.694980294
ok,38,0.969089365
or,109,2.667652801
pa,160,1.251262504
ri,33,3.120372629
sc,68,1.371016944
sd,26,3.017844748
tn,90,1.353504765
tx,144,0.516039105
ut,31,1.018289464
vt,78,12.51295412
va,199,2.364998966
wa,134,1.84042322
wv,64,3.499874497
wi,202,3.499097597
wy,35,5.983826572
