state,fm_count,fm_per_100k,fm_h,fm_mh,fm_ml,fm_l,fm_vl
Alabama,78,1.604758314,0,0,0,1,0
Alaska,24,3.236586372,0,1,0,0,0
Arizona,65,0.940850604,0,0,0,0,1
Arkansas,62,2.074806131,0,0,1,0,0
California,454,1.155319882,0,0,0,1,0
Colorado,99,1.79020109,0,0,0,1,0
Connecticut,59,1.644514499,0,0,0,1,0
Delaware,29,3.043986657,0,1,0,0,0
District of Columbia,49,7.160225386,1,0,0,0,0
Florida,167,0.808458744,0,0,0,0,1
Georgia,127,1.231381416,0,0,0,1,0
Hawaii,51,3.569721205,0,1,0,0,0
Idaho,39,2.321392645,0,0,1,0,0
Illinois,215,1.675012383,0,0,0,1,0
Indiana,150,2.261076903,0,0,1,0,0
Iowa,106,3.385641494,0,1,0,0,0
Kansas,81,2.785677217,0,0,1,0,0
Kentucky,100,2.254225715,0,0,1,0,0
Louisiana,61,1.301706281,0,0,0,1,0
Maine,62,4.660841116,1,0,0,0,0
Maryland,140,2.323747102,0,0,1,0,0
Massachusetts,252,3.692999758,0,1,0,0,0
Michigan,241,2.426147223,0,0,1,0,0
Minnesota,129,2.334820499,0,0,1,0,0
Mississippi,49,1.641312849,0,0,0,1,0
Missouri,213,3.49686169,0,1,0,0,0
Montana,52,5.0064699,1,0,0,0,0
Nebraska,58,3.040464919,0,1,0,0,0
Nevada,28,0.952622672,0,0,0,0,1
New Hampshire,88,6.591686236,1,0,0,0,0
New Jersey,104,1.158333497,0,0,0,1,0
New Mexico,48,2.301681378,0,0,1,0,0
New York,472,2.379477691,0,0,1,0,0
North Carolina,170,1.673773806,0,0,0,1,0
North Dakota,17,2.2500225,0,0,1,0,0
Ohio,197,1.694980294,0,0,0,1,0
Oklahoma,38,0.969089365,0,0,0,0,1
Oregon,109,2.667652801,0,0,1,0,0
Pennsylvania,160,1.251262504,0,0,0,1,0
Rhode Island,33,3.120372629,0,1,0,0,0
South Carolina,68,1.371016944,0,0,0,1,0
South Dakota,26,3.017844748,0,1,0,0,0
Tennessee,90,1.353504765,0,0,0,1,0
Texas,144,0.516039105,0,0,0,0,1
Utah,31,1.018289464,0,0,0,1,0
Vermont,78,12.51295412,1,0,0,0,0
Virginia,199,2.364998966,0,0,1,0,0
Washington,134,1.84042322,0,0,0,1,0
West Virginia,64,3.499874497,0,1,0,0,0
Wisconsin,202,3.499097597,0,1,0,0,0
Wyoming,35,5.983826572,1,0,0,0,0
